Label;Y;X
377;83;137
377;84;137
378;83;142
378;84;142
379;83;162
379;83;163
379;83;164
380;83;171
381;83;674
381;84;674
382;84;165
382;84;166
383;84;172
384;85;128
384;86;128
385;85;136
386;85;143
386;86;143
386;87;143
387;85;150
387;86;150
387;87;150
387;88;150
387;89;150
387;90;150
387;91;150
387;92;150
388;85;167
388;85;168
389;85;173
389;85;174
390;85;671
390;86;671
390;87;671
390;88;671
390;88;672
391;85;673
391;86;673
391;87;673
392;86;135
393;86;169
393;86;170
393;86;171
394;86;175
395;87;127
395;88;127
395;89;127
396;87;134
397;87;172
397;87;173
398;87;176
398;88;176
398;88;177
398;88;175
398;88;174
399;88;133
399;89;133
400;88;144
400;89;144
401;90;126
401;91;126
402;90;132
403;90;145
403;91;145
403;92;145
404;90;951
404;90;952
404;90;953
404;90;954
404;90;955
404;90;956
404;90;957
404;90;958
404;90;959
404;90;960
404;90;961
405;91;131
406;91;948
406;91;949
406;91;950
407;91;962
407;91;963
407;91;964
408;92;125
408;93;125
409;92;130
409;93;130
410;92;946
410;92;947
411;92;965
411;92;966
412;93;146
412;94;146
413;93;151
413;94;151
413;95;151
413;96;151
413;97;151
413;98;151
413;99;151
414;93;945
415;93;967
415;93;968
416;94;124
416;95;124
416;96;124
417;94;129
418;94;943
418;94;944
419;94;969
420;95;128
421;95;147
421;96;147
421;97;147
422;95;942
423;95;970
424;96;127
424;97;127
425;96;941
426;96;971
427;97;123
427;98;123
428;97;439
428;97;440
428;97;441
428;98;441
428;99;441
428;99;440
428;100;440
428;101;440
428;102;440
428;103;440
428;104;440
428;105;440
428;106;440
428;107;440
428;108;440
428;109;440
428;110;440
428;111;440
428;98;439
429;97;940
429;98;940
430;97;972
431;98;126
432;98;148
432;99;148
433;98;973
434;99;122
434;100;122
435;99;125
436;99;939
437;99;974
437;100;974
438;100;124
439;100;149
439;101;149
439;102;149
440;100;152
440;101;152
440;102;152
440;103;152
440;104;152
440;105;152
440;105;151
440;106;151
440;107;151
440;107;152
440;106;152
441;100;442
441;101;442
441;102;442
442;100;938
442;101;938
443;101;121
443;102;121
443;102;122
443;102;123
443;101;123
444;101;975
444;102;975
444;103;975
445;102;469
445;102;470
445;103;470
445;104;470
445;103;469
446;102;937
446;103;937
446;104;937
447;103;150
447;104;150
448;103;443
448;104;443
448;105;443
449;104;468
450;104;976
450;105;976
450;106;976
451;105;467
452;105;469
452;106;469
453;105;936
453;106;936
453;107;936
453;108;936
453;109;936
453;110;936
453;111;936
453;112;936
453;113;936
453;114;936
453;115;936
454;106;444
454;107;444
454;108;444
455;106;466
456;107;465
457;107;468
457;108;468
458;107;977
458;108;977
458;109;977
458;110;977
458;111;977
458;112;977
458;113;977
459;108;464
460;109;445
460;110;445
460;111;445
461;109;463
461;110;463
462;109;467
462;110;467
463;111;462
464;111;466
464;112;466
464;113;466
465;112;441
465;113;441
465;114;441
465;115;441
465;116;441
465;117;441
465;118;441
465;119;441
465;120;441
465;121;441
465;122;441
465;123;441
465;124;441
466;112;446
466;113;446
466;114;446
467;112;461
468;113;415
469;113;460
470;114;414
471;114;416
471;114;417
472;114;459
473;114;465
473;115;465
474;114;976
474;115;976
474;116;976
474;117;976
475;115;415
476;115;418
476;115;419
477;115;447
477;116;447
477;117;447
478;115;458
478;116;458
479;116;416
480;116;420
480;116;421
481;116;464
481;117;464
482;116;937
482;117;937
482;118;937
483;117;417
484;117;422
484;117;423
485;117;457
486;118;418
487;118;424
487;118;425
488;118;448
488;119;448
488;120;448
489;118;456
490;118;463
490;119;463
491;118;975
491;119;975
492;119;419
493;119;426
493;119;427
494;119;455
495;119;938
495;120;938
496;120;420
496;120;421
497;120;428
497;120;429
498;120;454
499;120;462
499;121;462
500;120;974
500;121;974
501;121;422
502;121;430
502;121;431
503;121;449
503;122;449
503;123;449
504;121;453
505;121;939
505;122;939
506;122;423
507;122;432
507;122;433
508;122;452
508;123;452
509;122;461
509;123;461
510;122;973
510;123;973
511;123;424
512;123;434
512;123;435
513;123;940
514;124;425
515;124;436
515;124;437
516;124;450
516;124;451
517;124;460
517;125;460
518;124;941
519;124;972
520;125;426
521;125;438
521;125;439
522;125;442
523;125;942
524;125;971
525;126;427
525;126;428
526;126;440
526;126;441
527;126;459
527;127;459
528;126;943
529;126;970
530;127;429
531;127;944
532;127;968
532;127;969
533;128;430
534;128;458
534;129;458
535;128;475
535;128;476
535;128;477
535;128;478
535;128;479
535;128;480
535;128;481
535;128;482
535;128;483
535;128;484
535;128;485
535;128;486
535;128;487
535;129;487
535;129;486
535;129;485
536;128;945
536;128;946
537;128;967
538;129;431
539;129;461
539;129;462
539;129;463
539;129;464
539;129;465
539;129;466
539;129;467
539;129;468
539;129;469
539;129;470
539;129;471
539;129;472
539;129;473
539;129;474
540;129;947
540;129;948
541;129;964
541;129;965
541;129;966
542;130;432
543;130;459
543;130;460
544;130;482
544;130;483
544;130;484
545;130;949
545;130;950
545;130;951
545;130;952
546;130;960
546;130;961
546;130;962
546;130;963
547;131;433
548;131;479
548;131;480
548;131;481
549;131;953
549;131;954
549;131;955
549;131;956
549;131;957
549;131;958
549;131;959
550;132;434
550;132;435
551;132;476
551;132;477
551;132;478
552;133;436
553;133;473
553;133;474
553;133;475
554;134;435
555;134;470
555;134;471
555;134;472
556;135;432
556;135;433
556;135;434
557;135;467
557;135;468
557;135;469
558;136;429
558;136;430
558;136;431
559;136;464
559;136;465
559;136;466
560;137;426
560;137;427
560;137;428
561;137;461
561;137;462
561;137;463
562;138;423
562;138;424
562;138;425
563;138;460
563;139;460
564;139;420
564;139;421
564;139;422
565;140;417
565;140;418
565;140;419
